date,hospitalBedsRequired,hospitalBedCapacity,ICUBedsInUse,ICUBedCapacity,ventilatorsInUse,ventilatorCapacity,RtIndicator,RtIndicatorCI90,cumulativeDeaths,cumulativeInfected,currentInfected,currentSusceptible,currentExposed,cumulativePositiveTests,cumulativeNegativeTests,fips_char,fips
2020-09-26,5,186,2,8,1,15,,,210,59347,6145,88271,3095,,,09013,9013
2020-09-27,5,186,2,8,1,15,,,216,60603,6146,87043,3067,,,09013,9013
2020-09-28,5,186,2,8,1,15,,,222,61847,6136,85832,3034,,,09013,9013
2020-09-29,6,186,2,8,1,15,,,228,63076,6114,84641,2995,,,09013,9013
2020-03-15,0,162,0,3,0,5,,,0,0,23,116729,28,,,09015,9015
2020-03-16,0,162,0,3,0,5,,,0,12,30,116710,34,,,09015,9015
2020-03-17,0,162,0,3,0,5,,,0,28,39,116685,43,,,09015,9015
2020-03-18,0,162,0,3,0,5,,,0,48,50,116654,55,,,09015,9015
2020-03-19,0,162,0,3,0,5,,,0,74,64,116614,70,2,,09015,9015
2020-03-20,0,162,0,3,0,5,,,0,106,81,116562,88,2,,09015,9015
2020-03-21,0,162,0,3,0,5,,,0,147,103,116499,111,2,,09015,9015
2020-03-22,0,162,0,3,0,5,1.8029561228,1.0672446388,0,197,130,116424,136,1,,09015,9015
2020-03-23,0,162,0,3,0,5,1.8043380052,1.0783927292,0,258,161,116335,164,2,,09015,9015
2020-03-24,0,162,0,3,0,5,1.8025913876,1.0442559181,0,331,198,116232,194,2,,09015,9015
2020-03-25,0,162,0,3,0,5,1.797514696,1.022627422,0,417,239,116114,225,2,,09015,9015
2020-03-26,0,162,0,3,0,5,1.7886032388,0.9905589219,0,516,284,115984,258,3,,09015,9015
2020-03-27,0,162,0,3,0,5,1.7755560119,0.953910813,0,627,333,115841,289,3,,09015,9015
2020-03-28,0,162,0,3,0,5,1.7579132736,0.9243628167,0,751,383,115688,318,3,,09015,9015
2020-03-29,0,162,0,3,0,5,1.7355000607,0.8788714298,0,886,435,115529,342,7,,09015,9015
2020-03-30,0,162,0,3,0,5,1.7079125128,0.84642075,0,1030,484,115366,361,10,,09015,9015
2020-03-31,0,162,0,3,0,5,1.6752550474,0.7981131213,0,1180,530,115206,372,11,,09015,9015
2020-04-01,0,162,0,3,0,5,1.6378676895,0.768491403,0,1332,570,115051,373,19,,09015,9015
2020-04-02,0,162,0,3,0,5,1.5961643793,0.7343420902,0,1483,602,114909,365,21,,09015,9015
2020-04-03,0,162,0,3,0,5,1.5509511916,0.7012059917,0,1629,622,114781,347,27,,09015,9015
2020-04-04,0,162,0,3,0,5,1.503103794,0.6919243349,0,1766,631,114663,328,31,,09015,9015
2020-04-05,0,162,0,3,0,5,1.4519769375,0.6720423709,0,1897,633,114543,316,32,,09015,9015
2020-04-06,0,162,0,3,0,5,1.3993378026,0.6525969641,0,2025,631,114424,308,40,,09015,9015
2020-04-07,0,162,0,3,0,5,1.346753338,0.6389092781,0,2150,627,114305,302,43,,09015,9015
2020-04-08,0,162,0,3,0,5,1.2959095492,0.6247191022,0,2272,622,114187,298,49,,09015,9015
2020-04-09,0,162,0,3,0,5,1.2484282115,0.6211052757,0,2393,616,114070,294,52,,09015,9015
2020-04-10,0,162,0,3,0,5,1.2046711562,0.6164163414,0,2512,610,113954,290,59,,09015,9015
2020-04-11,0,162,0,3,0,5,1.1654554809,0.6104164237,0,2630,604,113840,287,66,,09015,9015
2020-04-12,0,162,0,3,0,5,1.1306635378,0.6146864898,0,2747,598,113727,283,66,,09015,9015
2020-04-13,0,162,0,3,0,5,1.1009633102,0.6174867043,0,2862,591,113615,280,83,,09015,9015
2020-04-14,0,162,0,3,0,5,1.0760292182,0.618911054,0,2975,585,113505,277,87,,09015,9015
2020-04-15,0,162,0,3,0,5,1.0559162001,0.6247171822,0,3088,578,113395,274,89,,09015,9015
2020-04-16,0,162,0,3,0,5,1.0400888648,0.6292861404,0,3199,572,113287,270,87,,09015,9015
2020-04-17,0,162,0,3,0,5,1.0274784365,0.6329264574,0,3309,565,113181,267,92,,09015,9015
2020-04-18,0,162,0,3,0,5,1.0183612027,0.6297848734,0,3417,559,113075,264,97,,09015,9015
2020-04-19,0,162,0,3,0,5,1.0117991722,0.6259056658,0,3525,553,112971,261,100,,09015,9015
2020-04-20,0,162,0,3,0,5,1.006968546,0.615753142,0,3631,546,112868,258,108,,09015,9015
2020-04-21,0,162,0,3,0,5,1.0032257472,0.6283806004,0,3735,540,112767,255,112,,09015,9015
2020-04-22,0,162,0,3,0,5,1.0000008223,0.6350850588,0,3839,534,112667,252,122,,09015,9015
2020-04-23,0,162,0,3,0,5,0.9966351799,0.618736128,0,3941,527,112568,248,129,,09015,9015
2020-04-24,0,162,0,3,0,5,0.9930261737,0.6082309529,0,4042,521,112470,245,139,,09015,9015
2020-04-25,0,162,0,3,0,5,0.9885294692,0.603755537,0,4141,515,112373,242,151,,09015,9015
