date,region,index,mean,median,lower_80,upper_80,infections,test_adjusted_positive,test_adjusted_positive_raw,positive,tests,new_tests,new_cases,new_deaths
2020-04-07,CT,40,0.870181270522172,0.869197640849798,0.797996274267331,0.934835722455217,1235.42178086274,946.011321096228,1338.64012920485,875,2350,2350,875,71
2020-04-08,CT,41,0.852318926986423,0.853260084906768,0.781320746981028,0.917952548462688,1210.57592193223,997.080502757339,0,0,0,0,0,0
2020-04-09,CT,42,0.836069669204433,0.835029691601847,0.765079165097949,0.897221547593477,1180.76665818366,1042.7914353028,1612.44860090172,2003,4466,4466,2003,103
2020-04-10,CT,43,0.821567636504435,0.818985992250991,0.765481280910282,0.898217033010531,1147.00705756242,1082.59222835054,973.00233614525,754,2786,2786,754,68
2020-04-11,CT,44,0.807303548628141,0.806325035124374,0.743939809524351,0.874929399105,1110.19539179319,1116.09097961328,986.322094473523,972,3543,3543,972,46
2020-04-12,CT,45,0.795524395525911,0.794865001892351,0.724634140209706,0.855548568773031,1071.00013638392,1143.0726622431,881.25995993036,525,1389,1389,525,60
2020-04-13,CT,46,0.781492521092301,0.780849638801598,0.730923814919371,0.854460198106608,1029.94031041053,1163.4467273944,1566.57359022814,1346,3089,3089,1346,48
2020-04-14,CT,47,0.772344668106271,0.768632142149029,0.709165528587154,0.836338995123614,987.583874006993,1177.2303878404,1020.58296311935,608,1532,1532,608,69
2020-04-15,CT,48,0.762527213917022,0.761441563215093,0.707267866307314,0.830488543717588,944.23579301722,1184.54338125533,640.150387615504,766,4302,4302,766,197
2020-04-16,CT,49,0.753558414635969,0.751256721802317,0.695243668949247,0.818580344488197,900.40753524927,1185.63165353506,1362.53318325415,1129,2979,2979,1129,103
2020-04-17,CT,50,0.746291827877393,0.745320902025346,0.688682933390687,0.805756072882745,856.663000638503,1180.84368320159,1421.18143143299,925,2340,2340,925,65
2020-04-18,CT,51,0.738570181512061,0.736775355214853,0.678267059022374,0.793609594918199,813.298587208494,1170.61010835035,0,0,0,0,0,0
2020-04-19,CT,52,0.731790437581239,0.732551829117781,0.669019447442221,0.784399070887397,770.637311687707,1155.40990852228,968.392164507815,741,2751,2751,741,50
2020-04-20,CT,53,0.726422433417935,0.727328399540213,0.671587191075764,0.794976119059939,728.899261249097,1135.75031589934,1772.94559988184,2265,4593,4593,2265,245
2020-04-21,CT,54,0.721869341635088,0.719875098096968,0.659642464400575,0.780904883918658,688.22612456731,1112.14732891376,914.831767927707,545,1386,1386,545,92
2020-04-22,CT,55,0.717463903725992,0.716276209976589,0.651957891619413,0.77339036185048,648.844931523637,1085.11463302293,1324.18567463872,2109,5726,5726,2109,121
2020-04-23,CT,56,0.71414568211463,0.711531693915582,0.647916454786284,0.77001350459193,610.969400960483,1055.17032238294,1059.1905423163,631,1579,1579,631,95
2020-04-24,CT,57,0.710482347818154,0.708645423099887,0.648806014179495,0.767757653752129,574.684733352672,1022.81510509245,1161.61481229275,821,2541,2541,821,125
2020-04-25,CT,58,0.708312604313279,0.707512647676112,0.639862112618404,0.760134219721193,540.052179413476,988.534214603028,666.787444188027,661,3564,3564,661,98
2020-04-26,CT,59,0.706606750421061,0.705559050750093,0.654766469623278,0.769748837565918,507.086729004081,952.779543621575,1118.11035715956,687,2209,2209,687,62
2020-04-27,CT,60,0.70581512115501,0.704459092773935,0.645863126749206,0.757515306977915,475.800236514207,915.961687699092,0,0,0,0,0,74
2020-04-28,CT,61,0.705568748412397,0.70595750686103,0.647121314177763,0.761478582005455,446.215139953898,878.462443059318,289.917947265242,1043,12934,12934,1043,91
2020-04-29,CT,62,0.706072665171893,0.703612545722011,0.644343854732981,0.758904811443849,418.337430462522,840.631562530573,763.758631939645,455,2073,2073,455,79
